年月,地區,信用卡產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新臺幣]
201411,臺灣,住,高中高職,373577,1852983830
201411,臺灣,住,其他,406751,2204695303
201411,臺灣,行,博士,131626,153245080
201411,臺灣,行,碩士,1227220,1318012947
201411,臺灣,行,大學,4330631,4196486734
201411,臺灣,行,專科,2205971,2181968061
201411,臺灣,行,高中高職,3077826,3233126646
201411,臺灣,行,其他,2732578,2901153837
201411,臺灣,文教康樂,博士,36325,241485484
201411,臺灣,文教康樂,碩士,474425,2367693222
201411,臺灣,文教康樂,大學,1669354,7128772831
201411,臺灣,文教康樂,專科,528437,2643542258
201411,臺灣,文教康樂,高中高職,595496,3052964162
201411,臺灣,文教康樂,其他,706193,3919062995
201411,臺灣,百貨,博士,61199,198179895
201411,臺灣,百貨,碩士,718118,2285519220
201411,臺灣,百貨,大學,2736017,8487508944
201411,臺灣,百貨,專科,1146174,3637163918
201411,臺灣,百貨,高中高職,1303584,4432048697
201411,臺灣,百貨,其他,1587542,5485173224
201411,臺灣,其他,博士,114079,416622743
201411,臺灣,其他,碩士,1345834,4367765011
201411,臺灣,其他,大學,5512902,17066066750
201411,臺灣,其他,專科,2483708,8117839034
201411,臺灣,其他,高中高職,3446325,11686413566
201411,臺灣,其他,其他,2866889,9957846541
201412,臺灣,食,博士,151123,208787375
201412,臺灣,食,碩士,1433798,1955928235
201412,臺灣,食,大學,4850163,6325160133
201412,臺灣,食,專科,2373307,2916528950
201412,臺灣,食,高中高職,2842954,3612680366
201412,臺灣,食,其他,2981049,4112888983
201412,臺灣,衣,博士,11998,39799265
201412,臺灣,衣,碩士,185315,551663305
201412,臺灣,衣,大學,856011,2448089180
201412,臺灣,衣,專科,378373,1134880589
201412,臺灣,衣,高中高職,499071,1553972476
201412,臺灣,衣,其他,461946,1500690405
201412,臺灣,住,博士,23399,112929264
201412,臺灣,住,碩士,247777,1187550174
201412,臺灣,住,大學,804977,3807135359
201412,臺灣,住,專科,341554,1627997111
201412,臺灣,住,高中高職,387706,1831934249
201412,臺灣,住,其他,420525,2180481363
201412,臺灣,行,博士,137867,154678872
201412,臺灣,行,碩士,1298108,1375437568
201412,臺灣,行,大學,4562169,4342616486
201412,臺灣,行,專科,2321908,2211220462
201412,臺灣,行,高中高職,3210648,3220388075
201412,臺灣,行,其他,2856888,2900343358
201412,臺灣,文教康樂,博士,38528,248599451
201412,臺灣,文教康樂,碩士,505117,2527821740
201412,臺灣,文教康樂,大學,1769716,7525960417
201412,臺灣,文教康樂,專科,569050,2814956818
201412,臺灣,文教康樂,高中高職,628946,3146544572
201412,臺灣,文教康樂,其他,756183,4091569269
201412,臺灣,百貨,博士,61164,182719061
201412,臺灣,百貨,碩士,752404,2110730637
201412,臺灣,百貨,大學,2802391,7552208031
201412,臺灣,百貨,專科,1157978,3202706570
201412,臺灣,百貨,高中高職,1269152,3740126921
201412,臺灣,百貨,其他,1536100,4505681513
201412,臺灣,其他,博士,126537,518678104
201412,臺灣,其他,碩士,1512854,5398747097
201412,臺灣,其他,大學,6196705,21256632213
201412,臺灣,其他,專科,2843097,10625499081
201412,臺灣,其他,高中高職,4057498,15572213614
201412,臺灣,其他,其他,3406665,13772218729
201501,臺灣,食,博士,156585,223501777
201501,臺灣,食,碩士,1442928,2011245250
201501,臺灣,食,大學,4830656,6624810768
201501,臺灣,食,專科,2399538,3198093849
201501,臺灣,食,高中高職,2875731,3986927414
201501,臺灣,食,其他,2966472,4359329126
201501,臺灣,衣,博士,11605,35568546
201501,臺灣,衣,碩士,167417,486972613
201501,臺灣,衣,大學,755277,2147682246
201501,臺灣,衣,專科,343210,1031725623
201501,臺灣,衣,高中高職,451026,1409852180
201501,臺灣,衣,其他,408944,1327230217
201501,臺灣,住,博士,25763,122314952
201501,臺灣,住,碩士,256481,1218168998
201501,臺灣,住,大學,834772,3958582784
201501,臺灣,住,專科,361634,1708659213
201501,臺灣,住,高中高職,413421,1992771524
201501,臺灣,住,其他,439650,2264715617
201501,臺灣,行,博士,130584,142506066
201501,臺灣,行,碩士,1267037,1277524426
201501,臺灣,行,大學,4438566,3987494524
201501,臺灣,行,專科,2242460,1986781281
201501,臺灣,行,高中高職,3095146,2846641452
201501,臺灣,行,其他,2728850,2589814957
201501,臺灣,文教康樂,博士,41322,304846230
201501,臺灣,文教康樂,碩士,510681,2839417104
201501,臺灣,文教康樂,大學,1787170,8134119134
201501,臺灣,文教康樂,專科,590757,3112958249
201501,臺灣,文教康樂,高中高職,649412,3335741324
201501,臺灣,文教康樂,其他,772258,4371340140
201501,臺灣,百貨,博士,56201,160899807
201501,臺灣,百貨,碩士,642127,1751829490
201501,臺灣,百貨,大學,2339242,6295385039
201501,臺灣,百貨,專科,960966,2652226979
201501,臺灣,百貨,高中高職,1057862,3128438872
201501,臺灣,百貨,其他,1274357,3729734142
201501,臺灣,其他,博士,119901,452178269
201501,臺灣,其他,碩士,1431313,4633457666
201501,臺灣,其他,大學,5839211,18123568872
201501,臺灣,其他,專科,2650826,8844712523
201501,臺灣,其他,高中高職,3720866,12737108599
201501,臺灣,其他,其他,3080761,10908221342
201502,臺灣,食,博士,148292,224342795
201502,臺灣,食,碩士,1402652,2102517634
201502,臺灣,食,大學,4660818,7087514169
201502,臺灣,食,專科,2338972,3481077733
201502,臺灣,食,高中高職,2796490,4353814163
201502,臺灣,食,其他,2868263,4689800327
201502,臺灣,衣,博士,11502,34593747
201502,臺灣,衣,碩士,169369,476395432
201502,臺灣,衣,大學,762186,2125470666
201502,臺灣,衣,專科,359439,1025295913
201502,臺灣,衣,高中高職,476740,1408995470
201502,臺灣,衣,其他,430656,1304711106
201502,臺灣,住,博士,26488,116228241
201502,臺灣,住,碩士,268718,1166483114
201502,臺灣,住,大學,832841,3769529453
201502,臺灣,住,專科,358799,1639929711
201502,臺灣,住,高中高職,400049,1895109998
201502,臺灣,住,其他,434928,2198297446
